Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
PROVIDENCIA (ISLA)/EL EMBRUJO,,	1973-01-15,,Operational,Partly operational,Land (fixed),0-20000-0-80002|primary,"North America, Central America and the Caribbean",Brazil,Colombia,13.3666666667,-81.35,6,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AGRIMET;CLIMAT(C);METAR;RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2022-11-12,Jorge Andres Gonzalez Rojas
SAN ANDRES (ISLA)/SESQUICENTENARIO,,	1958-01-15,,Operational,Operational,Land (fixed),0-20000-0-80001|primary,"North America, Central America and the Caribbean",Brazil,Colombia,12.5833333333,-81.7166666667,1,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;GSN;GUAN;METAR;RBCN;RBSN(ST);SPECI;SUNDUR;WTR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GSN:Operational, GUAN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2022-11-12,Jorge Andres Gonzalez Rojas
ACUEDUCTO MOCOA - AUT,,	2006-03-29,,Operational,Partly operational,Land (fixed),"0-170-0-44015060|primary,0-170-0-80341",South America,Brazil,Colombia,1.15733,-76.65183,650,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Steppe - Hot arid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,GOS General:Operational,	2023-08-04,Jorge Andres Gonzalez Rojas
AEROPUERTO A BONILLA,,	1971-07-15,,Operational,Silent,Land (fixed),0-170-0-26075040|primary,South America,Brazil,Colombia,3.5367,-76.3866,970,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,78|3040,GOS General:Operational,	2022-03-30,COL NMHS
AEROPUERTO A LLERAS C,,	1974-01-15,,Operational,Partly operational,Land (fixed),0-170-0-24035340|primary,South America,Brazil,Colombia,5.67694,-72.96792,2484,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
AEROPUERTO A.BONILLA - AUT,,	2005-09-26,,Operational,Silent,Land (fixed),0-170-0-26075150|primary,South America,Brazil,Colombia,3.533,-76.3825,961,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,GOS General:Operational,	2022-03-30,COL NMHS
AEROPUERTO ALFONSO LOPEZ -,,	2016-06-30,,Operational,Partly operational,Land (fixed),"0-170-0-28025502|primary,0-170-0-80038",South America,Brazil,Colombia,10.43617,-73.24767,138,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Equatorial - Savannah - dry summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within plains of low altitude,,RBON:Operational,	2023-08-14,Jorge Andres Gonzalez Rojas
AEROPUERTO ALM. PADILLA -,,	2004-06-21,,Operational,Partly operational,Land (fixed),0-170-0-15065180|primary,South America,Brazil,Colombia,11.52961,-72.91767,4,,UTC-5,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,Desert - Hot arid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of very low altitude,,RBON:Operational,	2022-08-29,Jorge Andres Gonzalez Rojas
AEROPUERTO BARACOA,,	1954-01-15,,Operational,Partly operational,Land (fixed),0-170-0-25025100|primary,South America,Brazil,Colombia,9.28194,-74.84528,57,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,|,RBON:Operational,	2023-06-26,COL NMHS
AEROPUERTO CAMILO DAZA - AUT,,	2015-06-10,,Operational,Partly operational,Land (fixed),"0-170-0-16015501|primary,0-170-0-80095",South America,Brazil,Colombia,7.93028,-72.50917,306,,,"Instituto de Hidrología Meteorología y Estudios Ambientales (Institute of Hydrology, Meteorology and Environmental Studies).",,,,,,,,,RBON:Operational,	2023-08-10,Jorge Andres Gonzalez Rojas
